region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
CA1,GABA Neu,5747.31875913231,12497.5989326321,Cell_10076,1002081,0.0
Cortex,Glu Neu,6432.8293826768,12816.3891222672,Cell_10077,1002081,1.962890625
Cortex,Glu Neu,6870.04190827042,13016.9039782357,Cell_10078,1002081,2.12890625
CAA,GABA Neu,3854.28536520111,9392.80609421894,Cell_1008,1002081,0.0
DG,Astr,2083.92036542972,10822.9881691956,Cell_10080,1002081,0.0
DG,Glu Neu,2573.55200792522,11038.7423224978,Cell_10081,1002081,0.0
DG,GN DG,2649.98035504273,11075.9942722036,Cell_10082,1002081,2.0078125
SL/R CA1,Astr,2729.70291850132,11118.0574731706,Cell_10083,1002081,0.0
SL/R CA1,Mic,2839.12045511992,11164.9382014107,Cell_10084,1002081,0.0
Cortex,Astr,6168.01945294214,12686.1405095532,Cell_10085,1002081,0.0
Cortex,Astr,6511.68373046407,12845.9524751732,Cell_10086,1002081,0.0
DG,GABA Neu,2554.12208052443,11033.1318036982,Cell_10088,1002081,1.81640625
CAA,Glu Neu,4414.39946536882,9641.98513586033,Cell_1009,1002081,1.8203125
SL/R CA1,SM,4018.12425659306,11707.8544344632,Cell_10090,1002081,0.0
SL/R CA1,Astr,4871.79354382741,12103.7657225477,Cell_10091,1002081,0.0
CA1,Astr,6102.45794474239,12665.9739867351,Cell_10093,1002081,0.0
Cortex,Glu Neu,7192.64952526019,13162.6583107963,Cell_10094,1002081,1.9228515625
Cortex,Glu Neu,7472.15649328522,13290.8460825433,Cell_10095,1002081,2.021484375
DG,Glu Neu,2027.83091146268,10791.7636090917,Cell_10097,1002081,0.0
SL/R CA1,GN DG,2600.85545448194,11065.566226131,Cell_10098,1002081,2.16796875
SL/R CA1,Unknown,2967.43507411371,11228.1865891568,Cell_10099,1002081,0.0
CAA,Glu Neu,4438.9007905317,9665.32362478448,Cell_1010,1002081,2.095703125
SL/R CA1,Astr,3207.2108336599,11345.8538536531,Cell_10100,1002081,0.0
SL/R CA1,Astr,4177.19326278617,11780.8068248883,Cell_10101,1002081,0.0
CA1,Glu Neu,5124.90289303946,12218.7468398734,Cell_10102,1002081,0.0
CA1,Glu Neu,5483.185846701,12387.463540634,Cell_10103,1002081,1.8623046875
Cortex,Astr,6188.54326844871,12710.9552833191,Cell_10104,1002081,0.0
Cortex,Glu Neu,6681.95494622066,12959.2472812535,Cell_10105,1002081,1.8291015625
Cortex,Glu Neu,7068.27166584436,13110.016615467,Cell_10106,1002081,2.00390625
SL/R CA1,Astr,4444.99651228265,11906.9274796563,Cell_10107,1002081,1.74609375
SL/R CA1,Astr,4974.84832019829,12147.7283551708,Cell_10108,1002081,1.7265625
CA1,Astr,5562.75796186996,12425.0571369975,Cell_10109,1002081,1.7548828125
CA1,Astr,5631.12159146355,12448.7090745247,Cell_10110,1002081,1.7705078125
CA1,Glu Neu,6024.36211441517,12632.357900028,Cell_10111,1002081,1.779296875
Cortex,SM,6210.85367939409,12709.0856407201,Cell_10112,1002081,0.0
DG,Glu Neu,2168.60462843912,10866.226758425,Cell_10113,1002081,1.75
