region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
DG,Astr,4367.26681667656,13997.8717865237,Cell_20689,1002081,0.0
Cortex,Astr,7367.76071831881,11399.1141321419,Cell_2069,1002081,0.0
SL/R CA1,GABA Neu,5143.33236853094,14361.4928244532,Cell_20690,1002081,0.0
Cortex,Glu Neu,6710.2388726808,15075.7084832376,Cell_20694,1002081,2.0546875
Cortex,Glu Neu,7079.08776868083,15252.5714016789,Cell_20695,1002081,1.927734375
Cortex,Glu Neu,7239.52336150438,15312.9487198982,Cell_20696,1002081,2.134765625
Cortex,Glu Neu,7370.98174854963,15376.5387543019,Cell_20697,1002081,1.845703125
SN/VTA,DA Neu,-193.014349442336,11906.4309707363,Cell_20698,1002081,0.0
Midb,Unknown,1908.09759300357,12871.1452317023,Cell_20699,1002081,0.0
PAN,Glu Neu,4584.1659461567,10125.7995031552,Cell_2070,1002081,2.98046875
Midb,Astr,2525.51100946727,13160.9049134571,Cell_20700,1002081,0.0
Midb,Glu Neu,2703.59307225873,13240.3767884315,Cell_20701,1002081,0.0
Ependymal,Epe,2936.85562326756,13350.6563527072,Cell_20702,1002081,0.0
SL/R CA1,Glu Neu,5121.65040179514,14348.7986400183,Cell_20703,1002081,0.0
CA1,Glu Neu,5672.35043484172,14604.111631467,Cell_20704,1002081,1.8291015625
Cortex,Glu Neu,6663.80639530257,15052.213270012,Cell_20705,1002081,1.73828125
Cortex,Astr,7312.04942311039,15353.9117567476,Cell_20706,1002081,0.0
Cortex,Astr,7478.1237327881,15435.5776839453,Cell_20707,1002081,0.0
SN/VTA,Olig,-335.837946364456,11850.8304297117,Cell_20708,1002081,0.0
SN/VTA,DA Neu,512.151873937396,12237.5360860764,Cell_20709,1002081,0.0
PAN,DA Neu,4685.47801517304,10171.1631964751,Cell_2071,1002081,0.0
SN/VTA,DA Neu,1234.73889485058,12581.0313512662,Cell_20710,1002081,0.0
Midb,GABA Neu,2124.08979476858,12973.5042507319,Cell_20711,1002081,0.0
Midb,Olig,2552.28788701027,13172.0852009779,Cell_20712,1002081,0.0
DG,Glu Neu,3461.93693000038,13582.6684673042,Cell_20713,1002081,0.0
CA3,End,3756.40108281669,13729.8175845498,Cell_20714,1002081,0.0
Cortex,Glu Neu,6260.601723171,14878.2966452423,Cell_20716,1002081,2.283203125
Cortex,Glu Neu,7004.32690477304,15211.6835889744,Cell_20717,1002081,1.9228515625
Cortex,Glu Neu,7256.33608986743,15333.8612081526,Cell_20718,1002081,2.287109375
Cortex,Astr,4862.15901726758,10248.8923640949,Cell_2072,1002081,1.791015625
SN/VTA,DA Neu,-386.398381688636,11824.3418967242,Cell_20720,1002081,0.0
SN/VTA,Olig,1300.8677221424,12604.7585129382,Cell_20721,1002081,1.75
Midb,Glu Neu,2275.05333335943,13044.939606237,Cell_20723,1002081,0.0
CA3,Glu Neu,4006.55786234527,13836.8436825628,Cell_20724,1002081,2.859375
DG,GN DG,4460.47341809065,14041.7184449236,Cell_20725,1002081,2.1015625
SL/R CA1,Astr,4574.31980923446,14100.5317021326,Cell_20726,1002081,1.7626953125
FT,Unknown,6137.74089867526,14817.5494823108,Cell_20727,1002081,1.841796875
Cortex,Glu Neu,7183.39315745899,15293.8071370529,Cell_20728,1002081,1.875
Cortex,Astr,7329.88709144628,15365.3929408476,Cell_20729,1002081,0.0
Cortex,Glu Neu,5131.172129093,10384.3690988726,Cell_2073,1002081,1.8623046875
SN/VTA,DA Neu,-612.013085975988,11728.5713103768,Cell_20730,1002081,1.734375
SN/VTA,DA Neu,-178.662095815516,11920.7142762302,Cell_20731,1002081,0.0
SN/VTA,DA Neu,129.818939981882,12058.8897102023,Cell_20732,1002081,0.0
SN/VTA,Olig,404.89391547576,12188.3453313898,Cell_20734,1002081,0.0
SN/VTA,DA Neu,1472.69672289742,12697.8648741577,Cell_20735,1002081,0.0
SN/VTA,DA Neu,1592.72095193285,12740.8088428198,Cell_20736,1002081,0.0
SN/VTA,Astr,1840.71815330446,12850.1449672794,Cell_20737,1002081,0.0
Midb,Astr,1970.13293641591,12906.1968531729,Cell_20738,1002081,0.0
DG,Unknown,3444.55060653339,13584.5960970148,Cell_20739,1002081,1.7265625
Cortex,Glu Neu,5606.48599202815,10600.1577262413,Cell_2074,1002081,2.392578125
CA3,Astr,4194.59779830481,13932.9841136225,Cell_20740,1002081,1.9140625
CA1,Glu Neu,5793.81019864054,14663.116087044,Cell_20741,1002081,1.734375
Cortex,Glu Neu,6756.93149655996,15120.225882929,Cell_20742,1002081,2.30859375
Midb,Astr,535.593785060963,12255.9880995946,Cell_20743,1002081,0.0
SN/VTA,Olig,747.874899682457,12354.4448331127,Cell_20744,1002081,2.078125
Ependymal,Epe,3045.34381909731,13403.1616987741,Cell_20745,1002081,0.0
DG,Glu Neu,3426.93861063196,13579.8193198201,Cell_20746,1002081,0.0
CA3,Glu Neu,3986.86151243168,13836.6117341165,Cell_20747,1002081,2.642578125
CA3,Glu Neu,4011.00395390371,13855.935101312,Cell_20748,1002081,2.845703125
Cortex,Glu Neu,6136.11212750934,10834.2541948504,Cell_2075,1002081,0.0
CA1,Glu Neu,5547.55570462346,14552.3789018875,Cell_20750,1002081,1.7666015625
CA1,Glu Neu,5816.11747157998,14674.4468228544,Cell_20751,1002081,1.783203125
FT,Unknown,6117.32678137998,14809.287290407,Cell_20752,1002081,0.0
Cortex,Glu Neu,6446.97417592082,14978.0729393006,Cell_20753,1002081,0.0
Cortex,Glu Neu,6675.65742411481,15071.9503700039,Cell_20754,1002081,1.73046875
Cortex,Glu Neu,7157.1428489297,15298.2704656446,Cell_20756,1002081,1.81640625
SN/VTA,DA Neu,-787.860346465669,11649.0242112577,Cell_20757,1002081,0.0
Thal,GABA Neu,2721.23954222663,13259.4713451865,Cell_20759,1002081,0.0
Cortex,Astr,7405.17876234512,11420.6754396451,Cell_2076,1002081,0.0
CA3,Glu Neu,3927.36186790039,13810.4240977083,Cell_20760,1002081,2.771484375
CA3,Glu Neu,4040.41526751769,13858.9723091581,Cell_20761,1002081,2.7421875
SL/R CA1,Astr,4863.13896918474,14252.7929672186,Cell_20762,1002081,0.0
SL/R CA1,Astr,4892.75871819993,14255.3756921899,Cell_20763,1002081,0.0
SL/R CA1,End,5025.7513771985,14318.0191487715,Cell_20764,1002081,0.0
CA1,Glu Neu,5695.03382850524,14626.6163787863,Cell_20765,1002081,0.0
FT,Olig,6081.83636706431,14805.1123063709,Cell_20766,1002081,0.0
Cortex,End,6522.8007298798,14997.4464705922,Cell_20767,1002081,0.0
Cortex,Glu Neu,6783.74912418131,15119.3231931912,Cell_20768,1002081,1.9765625
Cortex,Glu Neu,6956.26141825155,15206.1420183078,Cell_20769,1002081,2.10546875
CAA,Glu Neu,4039.50426373347,9883.70726515507,Cell_2077,1002081,1.7587890625
SN/VTA,DA Neu,-513.503138353487,11770.4495889877,Cell_20770,1002081,0.0
SN/VTA,DA Neu,-214.227734276,11914.3044898923,Cell_20771,1002081,0.0
DG,Glu Neu,3404.85701012696,13575.1929909151,Cell_20773,1002081,0.0
DG,Glu Neu,3541.54351923581,13634.579843228,Cell_20774,1002081,0.0
CA3,Glu Neu,4082.18694192438,13890.2313433284,Cell_20775,1002081,2.607421875
DG,Glu Neu,4277.31368152522,13970.9193566435,Cell_20777,1002081,1.7626953125
CA1,Unknown,5511.0811004133,14545.5522447471,Cell_20778,1002081,1.9853515625
Cortex,Glu Neu,6296.35228398759,14903.4938157442,Cell_20779,1002081,2.017578125
Cortex,Glu Neu,7055.60510747891,15246.2023654193,Cell_20780,1002081,2.287109375
Midb,Glu Neu,-536.985799555401,11764.0805527281,Cell_20782,1002081,0.0
SN/VTA,DA Neu,-499.075660581852,11786.9676967834,Cell_20783,1002081,1.7421875
SN/VTA,DA Neu,-103.108240381215,11971.867134694,Cell_20785,1002081,0.0
SN/VTA,DA Neu,-71.9369823794732,11980.6621716233,Cell_20786,1002081,0.0
DG,Glu Neu,4424.14926217012,14039.3613923867,Cell_20788,1002081,1.7705078125
DG,Olig,4516.52212197935,14085.025982286,Cell_20789,1002081,0.0
Cortex,Astr,4929.64815517798,10286.44521038,Cell_2079,1002081,0.0
SL/R CA1,Astr,4791.10500252598,14213.1557669214,Cell_20790,1002081,0.0
CA1,Glu Neu,5485.21318861998,14534.7888280288,Cell_20791,1002081,2.025390625
Cortex,Glu Neu,6199.85146623242,14854.8359060831,Cell_20792,1002081,0.0
Cortex,Ery,6356.83611841338,14932.3331252566,Cell_20793,1002081,0.0
Cortex,Mic,7102.37923151476,15266.5538105935,Cell_20794,1002081,0.0
SN/VTA,Olig,1014.35231262683,12481.057582828,Cell_20796,1002081,0.0
Midb,Astr,2331.93577885299,13086.4292121,Cell_20798,1002081,0.0
Midb,Ery,2380.94470519061,13106.7054331294,Cell_20799,1002081,0.0
Meni,Meninge,5423.46441572174,9629.49810381622,Cell_208,1002081,0.0
Cortex,Glu Neu,6417.96673405337,10965.7189459052,Cell_2080,1002081,1.9189453125
Thal,Glu Neu,2752.71169680764,13277.205591323,Cell_20801,1002081,0.0
DG,Glu Neu,4301.0972393064,13986.2276021103,Cell_20802,1002081,1.7626953125
DG,Glu Neu,4434.52400614063,14055.1209827224,Cell_20803,1002081,0.0
SL/R CA1,GN DG,4471.90130008858,14088.7652674841,Cell_20804,1002081,2.017578125
SL/R CA1,Unknown,4766.14605648233,14202.8092210055,Cell_20805,1002081,0.0
Cortex,Astr,6153.15256634138,14836.7192632107,Cell_20807,1002081,0.0
Cortex,Glu Neu,6217.99003114757,14875.2562993903,Cell_20808,1002081,1.7744140625
Cortex,Glu Neu,6922.21281471116,15191.6267643676,Cell_20809,1002081,1.9453125
Cortex,Glu Neu,6521.2471828587,11016.3859854336,Cell_2081,1002081,1.75
SN/VTA,Olig,-1096.38213234141,11522.9317545442,Cell_20810,1002081,0.0
SN/VTA,DA Neu,-992.076743563253,11564.1674899182,Cell_20811,1002081,0.0
SN/VTA,DA Neu,-654.775226289054,11721.0613599212,Cell_20812,1002081,0.0
SN/VTA,DA Neu,-248.276337816401,11899.7892359521,Cell_20813,1002081,0.0
SN/VTA,DA Neu,41.6461242574796,12031.6536207761,Cell_20814,1002081,0.0
DG,Glu Neu,3493.10191199024,13617.8642610525,Cell_20815,1002081,1.787109375
CA3,Glu Neu,3900.31856784459,13804.6223805408,Cell_20816,1002081,2.22265625
CA3,Glu Neu,4056.39425427588,13881.7027289118,Cell_20817,1002081,2.517578125
SL/R CA1,Glu Neu,5166.73352957616,14392.02781523,Cell_20818,1002081,0.0
CA1,Astr,5847.94850985184,14696.1961907196,Cell_20819,1002081,1.7998046875
Cortex,Mic,7218.64958529378,11342.8302978021,Cell_2082,1002081,0.0
CA1,Glu Neu,5991.01501624164,14765.6600284297,Cell_20820,1002081,0.0
Cortex,Glu Neu,6553.54884106723,15033.5512300902,Cell_20821,1002081,1.7421875
Cortex,Unknown,7018.18078744073,15251.0418147351,Cell_20822,1002081,1.87109375
SN/VTA,DA Neu,104.286398834292,12071.3832822514,Cell_20825,1002081,0.0
Midb,Olig,959.924065857624,12472.5979165444,Cell_20826,1002081,0.0
Midb,Olig,1726.2229429119,12811.9370257336,Cell_20827,1002081,0.0
Midb,GABA Neu,2276.78976470208,13069.939302359,Cell_20828,1002081,0.0
Ependymal,Epe,3077.28769358639,13428.263270092,Cell_20829,1002081,0.0
CAA,Astr,4285.83398189536,9996.67925261339,Cell_2083,1002081,0.0
CA3,Glu Neu,3692.04943694588,13719.0071417413,Cell_20830,1002081,1.8330078125
DG,GN DG,4456.26395998801,14062.8910796789,Cell_20831,1002081,2.03125
SL/R CA1,GABA Neu,4550.11310463897,14112.5331792344,Cell_20832,1002081,0.0
SL/R CA1,Astr,5216.15932671621,14411.3950705097,Cell_20833,1002081,0.0
FT,Astr,6037.33151939672,14799.0034166122,Cell_20834,1002081,0.0
Midb,Glu Neu,1670.43438552412,12789.6516748369,Cell_20836,1002081,1.791015625
SN/VTA,GABA Neu,1779.16862882749,12842.8199391799,Cell_20837,1002081,0.0
Midb,GABA Neu,2787.97016267698,13301.0769252727,Cell_20838,1002081,0.0
Midb,Mic,2839.51478789565,13330.2171313644,Cell_20839,1002081,0.0
PAN,Astr,4612.30313431828,10150.805475289,Cell_2084,1002081,0.0
DG,Unknown,3453.67473809661,13603.0825845995,Cell_20840,1002081,1.787109375
DG,GN DG,3473.25511378703,13613.1627080026,Cell_20841,1002081,1.9404296875
CA3,End,3839.90995756362,13778.0178733301,Cell_20842,1002081,0.0
DG,GABA Neu,4325.94021112689,14006.422322983,Cell_20843,1002081,0.0
DG,Mic,4359.87284044412,14030.78575188,Cell_20844,1002081,0.0
SL/R CA1,Glu Neu,5263.51800687736,14442.466044318,Cell_20845,1002081,0.0
CA1,GABA Neu,5754.00062801095,14663.561155901,Cell_20846,1002081,0.0
SN/VTA,Olig,-582.891707919922,11756.2289556149,Cell_20848,1002081,0.0
SN/VTA,DA Neu,-265.396238770591,11896.3382953095,Cell_20849,1002081,0.0
Cortex,Glu Neu,4865.07083687271,10268.9303606661,Cell_2085,1002081,1.8076171875
SN/VTA,Astr,18.2762992727903,12028.6367879692,Cell_20850,1002081,0.0
SN/VTA,DA Neu,197.568224393192,12117.464742953,Cell_20851,1002081,1.8291015625
Midb,Olig,2079.76986945708,12986.1827451372,Cell_20852,1002081,0.0
Midb,Mic,2807.5505383674,13311.1570486759,Cell_20853,1002081,0.0
DG,Glu Neu,4403.27752399407,14044.0911434912,Cell_20854,1002081,0.0
SL/R CA1,GABA Neu,5184.79687034649,14410.2134062354,Cell_20855,1002081,1.8837890625
SL/R CA1,Glu Neu,5303.1536161722,14456.7932378961,Cell_20856,1002081,0.0
Ependymal,Epe,6320.77838500565,14924.5975023665,Cell_20857,1002081,0.0
Cortex,Glu Neu,7000.60954161764,15234.1820602818,Cell_20858,1002081,2.134765625
Cortex,End,7411.1956379579,15427.986233333,Cell_20859,1002081,0.0
Cortex,Glu Neu,6097.81959179984,10826.5937961051,Cell_2086,1002081,0.0
Midb,Mic,-1186.97781072964,11490.1838835084,Cell_20860,1002081,0.0
SN/VTA,DA Neu,-877.663033327381,11626.5413859811,Cell_20861,1002081,0.0
SN/VTA,DA Neu,-766.919660156678,11672.9300192739,Cell_20862,1002081,0.0
SN/VTA,DA Neu,-452.075864111554,11814.0235488629,Cell_20863,1002081,0.0
SN/VTA,Astr,397.424715098503,12219.0244944443,Cell_20864,1002081,0.0
SN/VTA,Astr,1163.15627306072,12554.8029647796,Cell_20865,1002081,0.0
SN/VTA,Astr,1261.92009117226,12644.1041866751,Cell_20866,1002081,0.0
Midb,GABA Neu,1646.87650017739,12781.0478362755,Cell_20867,1002081,0.0
Midb,GABA Neu,1955.01588931717,12922.367038299,Cell_20868,1002081,0.0
Midb,Ery,2353.21811181959,13107.1912520648,Cell_20869,1002081,0.0
Cortex,Glu Neu,6120.88538219932,10833.8717981144,Cell_2087,1002081,0.0
DG,Glu Neu,3517.11114220587,13639.8769134245,Cell_20871,1002081,1.962890625
SL/R CA1,Astr,5076.78039442481,14365.0753853498,Cell_20873,1002081,0.0
CA1,Glu Neu,5592.43039700327,14596.062559974,Cell_20874,1002081,0.0
CA1,GABA Neu,5731.20126012426,14650.9045835385,Cell_20875,1002081,1.7705078125
Cortex,Glu Neu,6599.6804218662,15048.1072341087,Cell_20876,1002081,0.0
Midb,Glu Neu,336.715208238265,12183.4807780265,Cell_20878,1002081,1.7626953125
SN/VTA,GABA Neu,462.227705838217,12243.2437510635,Cell_20879,1002081,0.0
Cortex,Glu Neu,6234.39012668552,10895.8288233748,Cell_2088,1002081,0.0
SN/VTA,DA Neu,1333.46196288378,12682.4155504203,Cell_20880,1002081,0.0
Midb,Unknown,2527.24744080992,13185.9046095791,Cell_20881,1002081,0.0
Thal,Glu Neu,2727.78722483046,13281.1768249674,Cell_20882,1002081,0.0
Midb,Astr,2893.71108621853,13358.3731475616,Cell_20883,1002081,0.0
DG,Glu Neu,4525.03818437216,14112.0348082753,Cell_20884,1002081,1.8291015625
CA1,GABA Neu,5883.22421275441,14727.2264144495,Cell_20885,1002081,0.0
Cortex,Glu Neu,7277.9193194133,15363.5624573245,Cell_20887,1002081,2.048828125
Cortex,Glu Neu,7324.08537427874,15392.4362409034,Cell_20888,1002081,2.0390625
Midb,Olig,-1225.76244138639,11481.197648211,Cell_20889,1002081,0.0
Cortex,Glu Neu,6868.01447835373,11188.6225749698,Cell_2089,1002081,2.78515625
SN/VTA,DA Neu,-935.912065451389,11597.6268523238,Cell_20890,1002081,0.0
SN/VTA,DA Neu,-190.334478283535,11946.1653172211,Cell_20891,1002081,0.0
SN/VTA,DA Neu,-14.6439420953629,12047.6435685556,Cell_20892,1002081,0.0
SN/VTA,DA Neu,150.602901989364,12104.7266704338,Cell_20893,1002081,1.7705078125
SN/VTA,DA Neu,245.818633270777,12141.7936977836,Cell_20894,1002081,0.0
SN/VTA,DA Neu,483.967659685597,12251.01384802,Cell_20895,1002081,0.0
Midb,Glu Neu,2297.16313191901,13090.2844715213,Cell_20896,1002081,0.0
Midb,GABA Neu,2647.30614391182,13243.1663578015,Cell_20897,1002081,1.841796875
Midb,Glu Neu,2664.8021655901,13257.791309953,Cell_20898,1002081,0.0
Ependymal,Epe,3127.88260297704,13469.0695826398,Cell_20899,1002081,0.0
Cortex,Ery,5786.33294821,9788.21618133046,Cell_209,1002081,0.0
Cortex,Glu Neu,6928.95593366029,11204.469941474,Cell_2090,1002081,2.43359375
CA3,Glu Neu,4115.36105378158,13918.6475060265,Cell_20900,1002081,2.451171875
SL/R CA1,Astr,4492.16496909423,14092.5578547843,Cell_20901,1002081,1.8076171875
CA1,Glu Neu,5534.31457613566,14564.4587411401,Cell_20902,1002081,1.9677734375
Cortex,Glu Neu,6517.41588351469,15023.5808048984,Cell_20903,1002081,0.0
Cortex,Glu Neu,6635.01411188036,15074.2133703603,Cell_20904,1002081,1.990234375
Cortex,End,7242.12800851837,15350.4482640812,Cell_20905,1002081,0.0
SN/VTA,DA Neu,-821.689553583497,11667.6141210417,Cell_20907,1002081,0.0
SN/VTA,DA Neu,126.060826748142,12093.4711587683,Cell_20908,1002081,0.0
CAA,Glu Neu,3404.55407551315,9591.40560850738,Cell_2091,1002081,0.0
SN/VTA,DA Neu,1131.37694588856,12554.530266255,Cell_20910,1002081,0.0
Thal,GABA Neu,2743.46531500938,13294.9680355141,Cell_20911,1002081,0.0
Ependymal,Epe,3022.44257601476,13420.712569558,Cell_20912,1002081,0.0
CA3,Glu Neu,3958.7525223247,13852.3242983619,Cell_20913,1002081,2.6484375
CA3,Glu Neu,4024.53970295891,13879.1952280854,Cell_20914,1002081,2.630859375
CA1,Glu Neu,5572.09150385281,14590.035170372,Cell_20915,1002081,1.81640625
CA1,Glu Neu,5821.48976592134,14701.1140021861,Cell_20916,1002081,2.109375
FT,Olig,6101.26001845322,14837.1235819893,Cell_20917,1002081,0.0
Cortex,Ery,6173.78921806517,14864.8862404292,Cell_20918,1002081,0.0
SN/VTA,DA Neu,-139.999715393803,11965.9494433033,Cell_20919,1002081,0.0
PAN,Unknown,4650.32924751499,10163.8444443875,Cell_2092,1002081,0.0
DG,Glu Neu,3540.47782918462,13656.0941246409,Cell_20920,1002081,0.0
DG,End,4255.2665550867,13980.6108072988,Cell_20921,1002081,0.0
CA1,GABA Neu,5392.191509562,14509.7295537928,Cell_20923,1002081,0.0
Cortex,Glu Neu,6674.66695820844,15095.6994537186,Cell_20926,1002081,1.9140625
Cortex,Glu Neu,7085.89559778557,15295.2990679255,Cell_20927,1002081,0.0
Cortex,Glu Neu,7168.65223108433,15321.151333688,Cell_20928,1002081,1.8115234375
Cortex,Glu Neu,4842.53789149882,10250.8952179504,Cell_2093,1002081,1.841796875
SN/VTA,DA Neu,174.236011480911,12115.565311297,Cell_20931,1002081,1.7744140625
SN/VTA,Mic,1200.38311871904,12583.9776449378,Cell_20932,1002081,0.0
Midb,Astr,2129.23014066361,13019.8677799772,Cell_20933,1002081,0.0
DG,Glu Neu,3491.96099779424,13637.1437401636,Cell_20934,1002081,0.0
CA1,GABA Neu,5902.45980378128,14753.6506843136,Cell_20935,1002081,0.0
Cortex,End,6874.22255233449,15188.3199960027,Cell_20937,1002081,0.0
SN/VTA,DA Neu,-636.335764794638,11750.4209624355,Cell_20939,1002081,0.0
Cortex,Glu Neu,4966.04125923144,10317.4378220376,Cell_2094,1002081,1.7666015625
SN/VTA,DA Neu,-241.769405290921,11933.5776929915,Cell_20940,1002081,0.0
SN/VTA,DA Neu,-75.087026442804,12006.7212817846,Cell_20941,1002081,0.0
SN/VTA,DA Neu,29.9361297170526,12055.9872606161,Cell_20942,1002081,0.0
SN/VTA,Olig,510.286916347823,12275.186078549,Cell_20943,1002081,0.0
Midb,Unknown,2004.55138466852,12958.2868754409,Cell_20944,1002081,0.0
DG,Glu Neu,3256.68931691808,13533.643806938,Cell_20945,1002081,0.0
DG,Unknown,4266.70071309651,14001.2568730404,Cell_20946,1002081,0.0
Cortex,Glu Neu,6287.18112633415,14923.491062237,Cell_20947,1002081,2.359375
Cortex,Glu Neu,6470.30011282123,15006.3731277756,Cell_20948,1002081,1.734375
Cortex,End,6604.56062126031,15073.4485768884,Cell_20949,1002081,0.0
Cortex,Glu Neu,5802.70661973476,10700.0499945228,Cell_2095,1002081,2.078125
SN/VTA,DA Neu,-431.251152025726,11847.7775318359,Cell_20950,1002081,0.0
SN/VTA,DA Neu,-407.693266678995,11856.3813703973,Cell_20951,1002081,0.0
SN/VTA,DA Neu,-380.366307077167,11863.9634069918,Cell_20952,1002081,0.0
SN/VTA,Unknown,763.092230974665,12394.428365077,Cell_20955,1002081,0.0
Midb,Olig,913.375614256225,12458.9508782755,Cell_20956,1002081,0.0
Midb,GABA Neu,2441.83913440695,13161.0365337111,Cell_20957,1002081,0.0
Ependymal,Epe,3047.70241863767,13439.9983246811,Cell_20958,1002081,0.0
DG,Glu Neu,3440.79249329965,13619.1775455808,Cell_20959,1002081,0.0
Cortex,Glu Neu,6616.23096569379,11073.1493626969,Cell_2096,1002081,1.841796875
CA3,Glu Neu,4068.47095552257,13908.1442358091,Cell_20960,1002081,2.61328125
CA3,Glu Neu,4170.12467119652,13950.3641610776,Cell_20961,1002081,2.138671875
DG,Astr,4298.93138513756,14014.9383853758,Cell_20962,1002081,0.0
DG,Glu Neu,4441.63900783652,14080.3871013572,Cell_20963,1002081,0.0
CA1,Glu Neu,5453.58430973746,14538.9857341076,Cell_20964,1002081,1.9541015625
CA1,Glu Neu,5836.29336441706,14728.8061214907,Cell_20965,1002081,1.849609375
Cortex,Glu Neu,7197.39748841632,15337.6349674172,Cell_20966,1002081,1.9365234375
Cortex,GABA Neu,7292.42202132975,15382.3153674219,Cell_20967,1002081,1.81640625
SN/VTA,DA Neu,-717.158492370886,11715.5542633211,Cell_20968,1002081,0.0
SN/VTA,Mic,-357.775374591693,11877.0744622291,Cell_20969,1002081,0.0
CAA,Astr,3911.56576546376,9831.63288891789,Cell_2097,1002081,0.0
SN/VTA,DA Neu,-292.329840615102,11907.089160004,Cell_20970,1002081,0.0
SN/VTA,DA Neu,-265.969833874529,11919.1784132745,Cell_20971,1002081,0.0
SN/VTA,DA Neu,-174.013844867733,11965.7519689234,Cell_20972,1002081,0.0
Midb,Ery,2216.79174921166,13068.8265862176,Cell_20974,1002081,0.0
Midb,Glu Neu,2374.65089307583,13132.4228966331,Cell_20975,1002081,0.0
Midb,Unknown,2415.89599846881,13148.038314691,Cell_20976,1002081,0.0
Midb,Ery,2966.38759611418,13403.8057890146,Cell_20977,1002081,0.0
DG,Glu Neu,3463.74230947597,13636.3037225469,Cell_20978,1002081,0.0
DG,Glu Neu,4376.53512051754,14047.2286355308,Cell_20979,1002081,1.787109375
PAN,Astr,4699.33189784074,10210.5214222358,Cell_2098,1002081,0.0
SL/R CA1,GABA Neu,4802.57363460226,14248.1196122233,Cell_20980,1002081,0.0
SL/R CA1,Glu Neu,5307.84261719833,14489.7479533308,Cell_20981,1002081,0.0
Cortex,Glu Neu,6235.1788802347,14907.3427991536,Cell_20982,1002081,1.7626953125
Cortex,Astr,6369.48013875213,14962.3352710077,Cell_20983,1002081,0.0
Cortex,Glu Neu,6948.98341624228,15229.2078087072,Cell_20984,1002081,1.7998046875
Cortex,Glu Neu,6974.01758643075,15241.7891569249,Cell_20985,1002081,2.216796875
Cortex,Glu Neu,7216.36979493633,15356.237429225,Cell_20986,1002081,1.8115234375
Cortex,End,7519.96435532774,15495.4722772363,Cell_20987,1002081,0.0
SN/VTA,Astr,-1070.6709448496,11555.6263234779,Cell_20988,1002081,0.0
SN/VTA,Astr,-103.114516393092,11998.2678915129,Cell_20989,1002081,2.025390625
Cortex,Glu Neu,5463.09507601397,10540.9965463628,Cell_2099,1002081,0.0
SN/VTA,Olig,793.351385220793,12416.0069096134,Cell_20990,1002081,1.9365234375
SN/VTA,Olig,1238.93580092947,12612.6602301487,Cell_20991,1002081,1.8037109375
Midb,Astr,1676.29877481272,12817.6446907207,Cell_20993,1002081,1.9541015625
Midb,Glu Neu,1968.71932369524,12957.2556594562,Cell_20994,1002081,0.0
DG,GABA Neu,4403.8793171526,14061.9695619055,Cell_20995,1002081,0.0
SL/R CA1,Astr,4652.25263924829,14182.479697874,Cell_20996,1002081,0.0
CA1,Unknown,5480.39566134693,14564.4838011888,Cell_20997,1002081,1.91015625
FT,Olig,5946.27822012772,14779.2474885846,Cell_20998,1002081,0.0
Cortex,Mic,6409.24582129744,14987.1735578187,Cell_20999,1002081,0.0
Cortex,Unknown,4702.90853471631,9027.29861664565,Cell_21,1002081,0.0
Meni,Meninge,3765.58611245956,8871.36056248711,Cell_210,1002081,0.0
Cortex,Glu Neu,6041.53893946481,10802.9826086563,Cell_2100,1002081,1.91015625
Cortex,Glu Neu,7114.71607926237,15314.0175039565,Cell_21000,1002081,1.8798828125
SN/VTA,DA Neu,-950.953888405311,11616.0318397518,Cell_21001,1002081,0.0
SN/VTA,DA Neu,-690.422364906231,11738.8175281004,Cell_21002,1002081,0.0
SN/VTA,Olig,856.562116895606,12446.0968315331,Cell_21003,1002081,1.8037109375
Midb,Glu Neu,931.363730881742,12474.9016669791,Cell_21004,1002081,1.9052734375
SN/VTA,Olig,1020.9689433636,12531.3986217296,Cell_21005,1002081,0.0
Midb,End,1861.57733945676,12898.2167298127,Cell_21006,1002081,0.0
Midb,Unknown,2534.85453745306,13212.496564766,Cell_21007,1002081,0.0
Midb,Unknown,2572.12213318973,13229.5882676656,Cell_21008,1002081,0.0
Midb,GABA Neu,2777.39794432662,13319.3314644111,Cell_21009,1002081,0.0
CAA,Glu Neu,3194.46701311509,9504.95662810302,Cell_2101,1002081,0.0
Midb,Glu Neu,2797.39519081947,13328.5026220645,Cell_21010,1002081,0.0
DG,GN DG,4380.69755252995,14064.539734853,Cell_21011,1002081,2.423828125
CA1,Glu Neu,5525.69350054104,14580.8577367067,Cell_21012,1002081,1.896484375
CA1,Glu Neu,5638.61368890194,14632.095233333,Cell_21013,1002081,0.0
FT,Astr,6005.36099385658,14806.3440907425,Cell_21014,1002081,0.0
Cortex,Glu Neu,6576.68357959966,15069.4647912202,Cell_21015,1002081,0.0
Cortex,Unknown,7460.00708991567,15482.2765838364,Cell_21016,1002081,0.0
Cortex,Astr,7587.52871738295,15535.2599258232,Cell_21017,1002081,0.0
SN/VTA,DA Neu,-480.184854218537,11829.7361131083,Cell_21018,1002081,1.7587890625
SN/VTA,DA Neu,198.621362420622,12148.751975178,Cell_21019,1002081,1.8291015625
PAN,Glu Neu,4528.14544032259,10123.210502172,Cell_2102,1002081,0.0
SN/VTA,GABA Neu,664.920792003838,12362.6066968241,Cell_21020,1002081,0.0
